text_clean,true_category,predicted_category,confidence
license management privacy warning wednesday pm re license hi reason has deployed certificate name a license management privacy warning wednesday pm re license hi reason has deployed certificate name apache test certificate default cert imagine included platform apache license application whatever official better give certificate issued by ca accessed by third party ca required going accessible less important threat gateway kind regards license importance high hi noticed strange issue license enter chrome gives privacy warning safe enter license browser generates warning kind regards developer,Integration Issues,Account Access / Login Issues,0.9989961
accounts needed for internship thursday pm accounts needed internship dear internship automation tes accounts needed for internship thursday pm accounts needed internship dear internship automation test prerequisite technical trainings accounts created persons require ones automation testing accounts configured please let provide further details thanks,Feature Requests,Account Access / Login Issues,0.9989598
account hello order help internship please provide regards developer account hello order help internship please provide regards developer,How-To / Product Usage Questions,Account Access / Login Issues,0.9988908
found lost card thursday november pm please log analyst ext hub november assistants re lost recent c found lost card thursday november pm please log analyst ext hub november assistants re lost recent care si kind regards tuesday october pm assistants la tine va ne active visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor ca si lost visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor analyst ext hub october assistants re la doc la tower parte si si kind regards thursday october assistants re care si merci analyst ext hub october assistants re update la tower regards thursday october assistants re tower ca thursday october assistants re visitor thursday october assistants ca si care care si alt cleaning analyst ext hub october assistants re indicate ca si indicate care si la visitor visitor visitor visitor care face card va la care tuesday october pm si observant ca care va care la si si tower date ca ca si va care face nominal la cum analyst ext hub,Billing & Payments,Account Access / Login Issues,0.9987675
wants to access people manager coffee wants coffee hi provide part link about right regards accept d wants to access people manager coffee wants coffee hi provide part link about right regards accept decline requests,Billing & Payments,Account Access / Login Issues,0.99871206
wants to share bid squad repository with wants share bid squad repository want share bid squad repos wants to share bid squad repository with wants share bid squad repository want share bid squad repository accept decline requests,Feature Requests,Account Access / Login Issues,0.9984006
th floor access july floor hello colleague joined received today card cannot floor where please also th floor access july floor hello colleague joined received today card cannot floor where please also floor thank,Billing & Payments,Account Access / Login Issues,0.99818265
amend ad amend ad urgent dear please kindly amend user name ad important because user name needs acc amend ad amend ad urgent dear please kindly amend user name ad important because user name needs accepted by federation vs subscription assigned activated blocking work bit urgent questions please kindly directly thanks analyst,How-To / Product Usage Questions,Account Access / Login Issues,0.99814403
yammer account problem sent friday march yammer problem hello today tried connect for yammer noticed yammer account problem sent friday march yammer problem hello today tried connect for yammer noticed can if press reset tried reset password create but can same error message id you entered does exist one colleagues searched yammer but only one appeared colleague there but can you help resetting or creating yammer regards software tester,Bug / Defect Reports,Account Access / Login Issues,0.9980374
access to wednesday july pm re hi approve folder please thanks intercompany july hi working number i access to wednesday july pm re hi approve folder please thanks intercompany july hi working number items getting information challenge guys helpful guided particular folders mind gain directory worth getting by intercompany thanks,How-To / Product Usage Questions,Account Access / Login Issues,0.997572
latest technology security products july pm latest products greetings facial [ticket_id] excited latest technology security products july pm latest products greetings facial [ticket_id] excited announce facial fingerprint attendance control more powerful then powerful high speed cpu capacitive touch screen upgraded face matching algorithm makes ideal industrial labour intensive environment key features mentioned display inch capacitive touch screen face fingerprint id card user face template registered intelligent fingerprint locks fingerprint locks simple main door key by family members everyday door finger relax also has got independent unlocking fingerprint mechanical key users fingerprint family members popular economical terminal push manage attendance branches single software headquarter key device features users fingerprints templates storage card storage transaction color display lots exciting software features mobile app self real attendance parents others leave multiple shift shift flexible shift assign multiple shifts database edition edition professional parallel base export export other database simultaneously works concept push solution requires public eliminates installation software over branches various format reports define label format reports based pioneer intelligent industry surveillance over years dedicated ourselves providing innovative high cost effective customers over countries invent core concept both product commitment customers headquarters located california manufacturing centers branch offices located south africa portugal well additional locations over globally nearly talented employees serving trademarks registered countries around fingerprint reader fingerprint reader pro fingerprint control fingerprint control fingerprint control fingerprint control fingerprint control fingerprint attendance control launch cameras video door phone color display recording consultants delhi change profile powered by,Billing & Payments,Account Access / Login Issues,0.9974232
no tickets for thursday october tickets hello tickets available license attached picture friday octo no tickets for thursday october tickets hello tickets available license attached picture friday october re tickets hello respond issue known under resolution process additional products licenses users created stage sincere apologies inconveniences created thanks analyst,Bug / Defect Reports,Account Access / Login Issues,0.9972024
set up shared account july pm shared dear shared multiple users thank set up shared account july pm shared dear shared multiple users thank,How-To / Product Usage Questions,Account Access / Login Issues,0.99717206
accounts accounts hi make annual leave redirected also thank tester accounts accounts hi make annual leave redirected also thank tester,General Inquiries / Other,Account Access / Login Issues,0.9970157
add custom fields to the screen july pm add custom screen hello dear helped screens instance please add custom fields to the screen july pm add custom screen hello dear helped screens instance please kind log thanks best regards engineer,How-To / Product Usage Questions,Feature Requests,0.99683493
new purchase po friday pm purchase po dear purchased requested by backpack inch chargers chargers pl new purchase po friday pm purchase po dear purchased requested by backpack inch chargers chargers please log allocation please take consideration mandatory receipts section order receive item ordered how video explorer kind regards administrator,Billing & Payments,Feature Requests,0.9967535
access on friday march pm hi develop rest connecting database want continuous provide instance acces access on friday march pm hi develop rest connecting database want continuous provide instance accessed instance create databases best regards architect,Integration Issues,Account Access / Login Issues,0.9966858
[invoice_id] deeper the error and november pm re multiple polls down hello please assign [invoice_id] [invoice_id] deeper the error and november pm re multiple polls down hello please assign [invoice_id] deeper error attach had also re same storage issue thank november re multiple polls down hello assigned queue restarted seems storage error related thank november multiple polls down hello discussed please advised has logged assigned queue polls down further assist thanks best regards analyst,Account Access / Login Issues,Bug / Defect Reports,0.9966737
hp phone issues sent wednesday phone issues hello phone loch ness meeting room encountered issue can hp phone issues sent wednesday phone issues hello phone loch ness meeting room encountered issue cannot sign into server please please log ticket for line [invoice_id] issue for more details please contact thank you engineer,Account Access / Login Issues,Bug / Defect Reports,0.99661344
policy for large files tuesday february pm policy large files hello third party zip archive file too policy for large files tuesday february pm policy large files hello third party zip archive file too large attached mb how deals problem third site thanks coordinator,Integration Issues,Bug / Defect Reports,0.9965957
issues on sec issues sec hi can you please check what happened with sec apparently licenses expired issues on sec issues sec hi can you please check what happened with sec apparently licenses expired for machine please below thanks,Bug / Defect Reports,Account Access / Login Issues,0.9965354
pm change tuesday october pm pm change hi please pm supposed move different delayed holiday requests pm change tuesday october pm pm change hi please pm supposed move different delayed holiday requests going require additional information please let thanks engineer,Performance Problems,Feature Requests,0.9964049
problems sent wednesday july updated hello writing you have ongoing issued with addresses updated co problems sent wednesday july updated hello writing you have ongoing issued with addresses updated could you please look into have tried log with name password every but still work properly much appreciated accounts receivable accountant ext,Bug / Defect Reports,Account Access / Login Issues,0.9962296
import contacts to ad after performing needs raised import ad name [invoice_id] priority assigned thank import contacts to ad after performing needs raised import ad name [invoice_id] priority assigned thank kind regards reference reoccurring wednesday july re import ad good morning please informed imported ad please kindly let further assistance needed thanks analyst,Account Access / Login Issues,Feature Requests,0.9962289
oracle timecards inquiry wednesday november re days morning has removed thanks november days importa oracle timecards inquiry wednesday november re days morning has removed thanks november days importance high hi please let cannot control over days delete feature going available delete asap thanks,Account Access / Login Issues,Billing & Payments,0.9961661
remove test com thursday july pm instance hi existing user [user_id] called logging same configu remove test com thursday july pm instance hi existing user [user_id] called logging same configuration same want decommission destroy instance test thanks,How-To / Product Usage Questions,Account Access / Login Issues,0.99608266
access to gizmo sent thursday re update access survey gizmo hi although have given access cannot cre access to gizmo sent thursday re update access survey gizmo hi although have given access cannot create survey what want says should be able create survey button but can have given right level access can you fix please kind regards sent update access survey gizmo dear further our recent communication we believe your below query resolved if you with resolution there need for response however please let know if we can be any further assistance matter reference number summary access survey gizmo resolver resolution notes sent tuesday re survey password habits hi have managed log ll next speak about getting some help set up survey unless there guide somewhere kind regards description sent thursday survey password habits hi want use conduct survey tells you can provide with access you need code charge license cost kind regards kind regards ext ref msg,How-To / Product Usage Questions,Account Access / Login Issues,0.99597293
failed backup jobs on sent wednesday february please log incident request assign them hello please c failed backup jobs on sent wednesday february please log incident request assign them hello please create assign incident for regarding failed jobs since th february when server was restarted due updates best regards senior engineer ext your zone,Account Access / Login Issues,Bug / Defect Reports,0.9959556
change request change please assign instead myself thank unit change request change please assign instead myself thank unit,Account Access / Login Issues,Feature Requests,0.9957793
